ID;LON;LAT;ag
36221;11,6228;46,9643;0,0407
36222;11,6521;46,9647;0,041
36223;11,6815;46,9652;0,0413
36224;11,7108;46,9656;0,0417
36225;11,7402;46,966;0,042
36226;11,7695;46,9664;0,0424
36227;11,7988;46,9668;0,0427
36228;11,8282;46,9672;0,0431
36229;11,8576;46,9676;0,0435
36230;11,8869;46,968;0,0439
36231;11,9163;46,9684;0,0444
36232;11,9456;46,9687;0,0448
36233;11,975;46,9691;0,0452
36234;12,0043;46,9695;0,0457
36235;12,0336;46,9698;0,0461
36236;12,063;46,9701;0,0466
36237;12,0924;46,9705;0,0471
36238;12,1218;46,9708;0,0476
36760;11,1834;46,9368;0,0385
36761;11,2127;46,9373;0,0385
36762;11,242;46,9378;0,0385
36763;11,2714;46,9384;0,0386
36764;11,3007;46,9389;0,0387
36765;11,33;46,9394;0,0389
36766;11,3594;46,9399;0,039
36767;11,3887;46,9404;0,0392
36768;11,418;46,9409;0,0394
36769;11,4474;46,9414;0,0396
36770;11,4767;46,9419;0,0398
36771;11,5061;46,9424;0,0401
36772;11,5354;46,9428;0,0404
36773;11,5647;46,9433;0,0407
36774;11,594;46,9437;0,041
36775;11,6234;46,9442;0,0413
36776;11,6527;46,9446;0,0416
36777;11,6821;46,9451;0,042
36778;11,7114;46,9455;0,0423
36779;11,7408;46,9459;0,0427
36780;11,7701;46,9463;0,0431
36781;11,7994;46,9467;0,0435
36782;11,8288;46,9471;0,0439
36783;11,8581;46,9475;0,0443
36784;11,8875;46,9479;0,0448
36785;11,9168;46,9483;0,0452
36786;11,9461;46,9486;0,0457
36787;11,9755;46,949;0,0462
36788;12,0048;46,9494;0,0466
36789;12,0342;46,9497;0,0471
36790;12,0635;46,9501;0,0476
36791;12,0929;46,9504;0,0481
36792;12,1222;46,9507;0,0486
36793;12,1515;46,951;0,0491
37312;11,1256;46,9156;0,0391
37313;11,1549;46,9161;0,039
37314;11,1842;46,9167;0,0389
37315;11,2135;46,9172;0,0389
37316;11,2429;46,9177;0,0389
37317;11,2722;46,9183;0,039
37318;11,3015;46,9188;0,0391
37319;11,3308;46,9193;0,0392
37320;11,3601;46,9198;0,0394
37321;11,3894;46,9203;0,0396
37322;11,4187;46,9208;0,0398
37323;11,4481;46,9213;0,04
37324;11,4775;46,9218;0,0403
37325;11,5068;46,9223;0,0406
37326;11,5361;46,9227;0,0409
37327;11,5654;46,9232;0,0412
37328;11,5947;46,9236;0,0416
37329;11,6241;46,9241;0,0419
37330;11,6534;46,9245;0,0423
37331;11,6827;46,925;0,0426
37332;11,712;46,9254;0,043
37333;11,7414;46,9258;0,0434
37334;11,7707;46,9262;0,0439
37335;11,8;46,9266;0,0443
37336;11,8294;46,927;0,0447
37337;11,8587;46,9274;0,0452
37338;11,888;46,9278;0,0456
37339;11,9174;46,9282;0,0461
37340;11,9467;46,9285;0,0466
37341;11,976;46,9289;0,0471
37342;12,0054;46,9293;0,0476
37343;12,0347;46,9296;0,0481
37344;12,064;46,93;0,0486
37345;12,0934;46,9303;0,0492
37346;12,1227;46,9306;0,0497
37347;12,152;46,9309;0,0502
37865;11,0971;46,8949;0,0397
37866;11,1264;46,8955;0,0395
37867;11,1557;46,896;0,0393
37868;11,185;46,8966;0,0392
37869;11,2143;46,8971;0,0392
37870;11,2436;46,8977;0,0392
37871;11,2729;46,8982;0,0393
37872;11,3022;46,8987;0,0394
37873;11,3316;46,8992;0,0396
37874;11,3609;46,8997;0,0398
37875;11,3901;46,9002;0,04
37876;11,4195;46,9007;0,0402
37877;11,4488;46,9012;0,0405
37878;11,4781;46,9017;0,0408
37879;11,5074;46,9022;0,0411
37880;11,5367;46,9026;0,0415
37881;11,566;46,9031;0,0418
37882;11,5954;46,9036;0,0422
37883;11,6247;46,904;0,0426
37884;11,654;46,9044;0,043
37885;11,6833;46,9049;0,0434
37886;11,7126;46,9053;0,0438
37887;11,742;46,9057;0,0442
37888;11,7713;46,9061;0,0446
37889;11,8006;46,9065;0,0451
37890;11,8299;46,9069;0,0456
37891;11,8592;46,9073;0,0461
37892;11,8886;46,9077;0,0466
37893;11,9179;46,9081;0,0471
37894;11,9472;46,9084;0,0476
37895;11,9765;46,9088;0,0481
37896;12,0059;46,9092;0,0486
37897;12,0352;46,9095;0,0492
37898;12,0645;46,9099;0,0497
37899;12,0938;46,9102;0,0502
37900;12,1232;46,9105;0,0508
38404;10,6585;46,8655;0,0674
38405;10,6878;46,8662;0,0627
38419;11,0979;46,8748;0,0401
38420;11,1272;46,8754;0,0398
38421;11,1565;46,8759;0,0397
38422;11,1858;46,8765;0,0396
38423;11,2151;46,877;0,0395
38424;11,2444;46,8776;0,0396
38425;11,2737;46,8781;0,0397
38426;11,303;46,8786;0,0398
38427;11,3323;46,8791;0,04
38428;11,3616;46,8796;0,0402
38429;11,3909;46,8801;0,0404
38430;11,4202;46,8806;0,0407
38431;11,4495;46,8811;0,041
38432;11,4788;46,8816;0,0414
38433;11,5082;46,8821;0,0417
38434;11,5374;46,8825;0,0421
38435;11,5667;46,883;0,0424
38436;11,596;46,8835;0,0428
38437;11,6254;46,8839;0,0432
38438;11,6547;46,8843;0,0437
38439;11,684;46,8848;0,0441
38440;11,7133;46,8852;0,0445
38441;11,7426;46,8856;0,045
38442;11,7719;46,886;0,0455
38443;11,8012;46,8864;0,046
38444;11,8305;46,8868;0,0465
38445;11,8598;46,8872;0,047
38446;11,8891;46,8876;0,0475
38447;11,9184;46,888;0,048
38448;11,9478;46,8884;0,0486
38449;11,977;46,8887;0,0491
38450;12,0064;46,8891;0,0497
38451;12,0357;46,8894;0,0502
38452;12,065;46,8898;0,0508
38453;12,0943;46,8901;0,0513
38454;12,1237;46,8904;0,0518
38455;12,1529;46,8908;0,0522
