LON,LAT,Zona Sismica
12.1543,46.8305,0
12.1836,46.8308,0
12.2129,46.8311,1
12.2422,46.8314,1
12.2715,46.8317,1
12.3007,46.832,1
10.4577,46.7803,2
10.4869,46.781,2
10.5162,46.7817,1
10.5455,46.7824,1
10.5747,46.7831,1
10.604,46.7838,1
10.6332,46.7845,1
10.6624,46.7852,1
10.6917,46.7858,1
10.7209,46.7865,1
10.7502,46.7872,1
10.7794,46.7878,1
11.0427,46.7933,0
11.072,46.7939,0
11.1012,46.7944,0
11.1305,46.795,0
11.1597,46.7956,0
11.189,46.7961,0
11.2183,46.7967,0
11.2475,46.7972,0
11.2768,46.7977,0
11.3061,46.7982,0
11.3353,46.7988,0
11.3645,46.7993,0
11.3938,46.7998,0
11.4231,46.8003,0
11.4523,46.8007,0
11.4816,46.8012,0
11.5109,46.8017,0
11.5401,46.8022,0
11.5694,46.8026,0
11.5987,46.8031,0
11.628,46.8035,0
11.6572,46.804,0
11.6865,46.8044,0
11.7157,46.8048,0
11.745,46.8052,0
11.7743,46.8056,0
11.8035,46.806,0
11.8328,46.8065,0
11.862,46.8068,0
11.8913,46.8072,0
11.9206,46.8076,0
11.9499,46.808,0
11.9792,46.8083,0
12.0084,46.8087,0
12.0377,46.809,0
12.067,46.8094,0
12.0963,46.8097,0
12.1255,46.81,0
12.1548,46.8104,1
12.1841,46.8107,1
12.2133,46.811,1
12.2426,46.8113,1
12.2719,46.8116,1
10.4587,46.7602,2
10.488,46.7609,2
10.5172,46.7617,2
10.5465,46.7623,1
10.5757,46.763,1
10.6049,46.7637,1
10.6342,46.7644,1
10.6634,46.7651,1
10.6926,46.7658,1
10.7219,46.7664,1
10.7511,46.7671,1
10.7804,46.7677,1
10.8096,46.7683,0
10.8388,46.769,0
10.9266,46.7708,0
10.9558,46.7714,0
11.0436,46.7732,0
11.0728,46.7738,0
11.102,46.7744,0
11.1313,46.7749,0
11.1606,46.7755,0
11.1898,46.776,0
11.2191,46.7766,0
11.2483,46.7771,0
11.2775,46.7776,0
11.3068,46.7781,0
11.336,46.7787,0
11.3653,46.7792,0
11.3945,46.7797,0
11.4238,46.7802,0
11.453,46.7807,0
11.4823,46.7811,0
11.5116,46.7816,0
11.5408,46.7821,0
11.57,46.7825,0
11.5993,46.783,0
11.6286,46.7834,0
11.6578,46.7839,0
11.6871,46.7843,0
